projectName,status,landmark,fullAddress,city,type,price,search_text
Marigold miraaya ,UNDER_CONSTRUCTION,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Mumbai,2BHK,8900000,"Marigold miraaya  UNDER_CONSTRUCTION R Mall Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080 Mumbai 2BHK 8900000"
Marigold miraaya ,UNDER_CONSTRUCTION,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Mumbai,2BHK,10000000,"Marigold miraaya  UNDER_CONSTRUCTION R Mall Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080 Mumbai 2BHK 10000000"
Marigold miraaya ,UNDER_CONSTRUCTION,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Mumbai,2BHK,10000000,"Marigold miraaya  UNDER_CONSTRUCTION R Mall Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080 Mumbai 2BHK 10000000"
Marigold miraaya ,UNDER_CONSTRUCTION,R Mall,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Mumbai,3BHK,15000000,"Marigold miraaya  UNDER_CONSTRUCTION R Mall Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080 Mumbai 3BHK 15000000"
Balaji Kanha	,UNDER_CONSTRUCTION,Lodha Xperia Mall,64C5+C63 Dombivli East Dombivli Maharashtra 421301,Other,1BHK,4190000,Balaji Kanha	 UNDER_CONSTRUCTION Lodha Xperia Mall 64C5+C63 Dombivli East Dombivli Maharashtra 421301 Other 1BHK 4190000
Balaji Kanha	,UNDER_CONSTRUCTION,Lodha Xperia Mall,64C5+C63 Dombivli East Dombivli Maharashtra 421301,Other,2BHK,5770000,Balaji Kanha	 UNDER_CONSTRUCTION Lodha Xperia Mall 64C5+C63 Dombivli East Dombivli Maharashtra 421301 Other 2BHK 5770000
Bhoomi antara ,UNDER_CONSTRUCTION,R City,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",Mumbai,2BHK,17000000,"Bhoomi antara  UNDER_CONSTRUCTION R City 3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077 Mumbai 2BHK 17000000"
Bhoomi antara ,UNDER_CONSTRUCTION,R City,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",Mumbai,2BHK,24000000,"Bhoomi antara  UNDER_CONSTRUCTION R City 3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077 Mumbai 2BHK 24000000"
Bhoomi antara ,UNDER_CONSTRUCTION,R City,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",Mumbai,3BHK,37000000,"Bhoomi antara  UNDER_CONSTRUCTION R City 3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077 Mumbai 3BHK 37000000"
Arkade Prime,UNDER_CONSTRUCTION,Criticare Hospital,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Mumbai,1BHK,12000000,"Arkade Prime UNDER_CONSTRUCTION Criticare Hospital Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059 Mumbai 1BHK 12000000"
Arkade Prime,UNDER_CONSTRUCTION,Criticare Hospital,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Mumbai,2BHK,17000000,"Arkade Prime UNDER_CONSTRUCTION Criticare Hospital Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059 Mumbai 2BHK 17000000"
Arkade Prime,UNDER_CONSTRUCTION,Criticare Hospital,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Mumbai,Office space,21000000,"Arkade Prime UNDER_CONSTRUCTION Criticare Hospital Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059 Mumbai Office space 21000000"
Glory,UNDER_CONSTRUCTION, Sarai Sport Acadamy," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033",Pune,2BHK,67000000,"Glory UNDER_CONSTRUCTION  Sarai Sport Acadamy  Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Maharashtra 411033 Pune 2BHK 67000000"
